,categorie,nom_recette,ingredients,preparation,nb_etape
171,dessert,Meringue à l'italienne et usages,"['4 blanc doeuf', ' 250 g de sucre', ' 1 pincée de sel', ' 10 cl deau']"," Faites fondre le sucre dans l'eau sur feu doux. Nettoyez les parois de la casserole à l'aide d'un pinceau mouillé afin que les grains de sucre ne collent pas. Amenez à ébullition et laissez cuire jusqu'à ce qu'une goutte de ce sirop plongée dans l'eau glacée puisse être roulée en boule malléable. Ôtez du feu et posez la casserole dans l'eau froide pour arrêter la cuisson du sucre. Fouettez les blancs en neige avec le sel. Lorsqu'ils sont fermes, versez le sirop de sucre en un mince filet sur la paroi du saladier. Ne cessez pas de fouetter. Les blancs se raffermissent et prennent une couleur blanche satinée. Fouettez jusqu'à ce que la meringue soit froide.  Usages : - la meringue italienne allège crème pâtissière, crème au beurre et mousses. - elle enrobe l'omelette norvégienne, recouvre tartes, gâteaux et entremets meringués : l'appliquer en formant des dessins avec une poche à douille. La dorer ensuite rapidement sous le grill.",7
174,dessert,Langues de chat,"['60 g de beurre', ' 60 g de sucre en poudre', ' 60 g de farine', ' 2 blanc doeuf', ' 2 goutte de vanille ou 1 sachet de sucre vanillé ']"," Travailler le beurre pour le rendre crémeux, ajouter le sucre, la vanille et la farine. Bien mélanger. Incorporer les blancs d'oeufs. Beurrer la plaque du four et la fariner. Mettre la pâte dans une poche a douille. Etaler des bâtonnets de pâte suffisamment espacés sur la plaque. Faire cuire 7 à 8 min à four chaud (200°C). ",
176,dessert,Mousse riche en chocolat blanc,"['240 g de chocolat blanc', ' 20 cl de crème liquide entière ', ' 2 oeuf']", Faire fondre le chocolat blanc dans une casserole et y ajouter les JAUNES d'oeufs.  Pendant ce temps monter la crème (bien froide) en chantilly à l'aide d'un batteur électrique et l'ajouter à la préparation précédente.  Finir en mélangeant délicatement les BLANCS d'oeufs montés en neige.  Garnir 6 petites coupelles et mettre minimum 2 h au frigo !,4
177,dessert,Crêpes bretonnes,"['250 g de farine', ' 1 cuillère à soupe de farine de blé noir', ' 140 g de sucre', ' 1 sachet de sucre vanillé', ' 1 pincée de sel', ' 4 oeuf', ' 40 g de beurre salé fondu ', ' 1 l de lait', ' 500 g de farine de blé noir', ' 1 cuillère à soupe de farine blanche ', ' 1 pincée de sel', ' 50 cl de lait', ' 1 l deau']"," Mélanger les produits un par un dans l'ordre de la liste en faisant attention de ne pas faire de grumeaux. Pour la pâte de blé noir, ici en Bretagne, on la travaille avec les mains : c'est plus facile pour introduire petit à petit le lait et l'eau. Laisser reposer la pâte au moins une heure avant de faire les crêpes. Cuire la crêpe sur une face, la retourner, beurrer et garnir. En Bretagne, nous tournons les crêpes sur une bilig à 200°. Les idées pour la garniture pour la crêpe de blé noir : - complète : œuf, jambon, gruyère râpé - andouille de Guéméné - chèvre, tomates - lard, compoté d'oignons  - jambon, gruyère râpé D'autres idées pour la garniture pour la crêpe de froment : - banane, chocolat - sucre - pomme",14
188,dessert,Muffins aux pépites de chocolat,"['300 g de farine', ' 120 g de cassonade ou sucre blanc ', ' 125 g de beurre', ' 2 oeuf', ' 20 cl de lait entier', ' 1 cuillère à café de levure chimique', ' beurre pour les moules ', ' 100 g de chocolat']"," Préchauffer le four à 200°C (thermostat 6-7).Faites fondre doucement le beurre dans une casserole à fond épais. Mélanger la farine, le sucre (cassonade) et la levure chimique. Délayer les oeufs avec le lait. Ajouter à la préparation farine-sucre-levure le mélange lait-oeufs et mélangez bien.  Ensuite, mélanger le beurre avec cette préparation. Lorsque la pâte devient bien lisse et sans grumeaux (pour cela prendre de la farine fluide) ajouter le chocolat que vous avez cassé en petits morceaux pour faire comme des pépites. Mélangez bien. Verser la préparation dans des moules à muffins beurrés. Enfournez-les et faites cuire à 200°C pendant 20 min. Lorsqu'ils sont bien dorés (après 20 mn ou un peu plus) sortez-les du four. Attendez qu'ils refroidissent un peu pour les démoulez et les disposez sur un plat. Régalez-vous !",9
189,dessert,Gâteaux fondant/coulant au chocolat,"['200 g de chocolat pâtissier', ' 200 g de beurre', ' 100 g de sucre', ' 100 g de farine', ' 4 oeuf']"," Préchauffer le four à 180°C (thermostat 6). Faire fondre le chocolat et le beurre ensemble dans une casserole, à feu doux en remuant souvent. Une fois que c'est fait, ajouter le sucre, puis la farine en remuant entre les deux. Enfin casser les oeufs 1 à 1 en remuant entre chaque oeuf. Mettre le mélange dans un moule à cake et enfourner pendant 12 à 20 minutes selon si vous aimez très fondant ou pas, dans un four à 180°C (thermostat 6).",5
191,dessert,Banoffee Cake,"['1 boîte de lait concentré sucré', ' 150 g de biscuit sablé anglais ', ' 75 g de beurre', ' 3 banane', ' 25 cl de crème entière liquide ', ' 1 cuillère à soupe de sucre glace', ' cacao amer']"," Pour préparer le ""Toffee"" (confiture de lait) : Il est possible de le préparer jusqu'à une semaine avant. Dans une cocotte minute, immerger la boite de lait concentré sucrée dont vous aurez préalablement enlevé l'étiquette. Fermer, mettre sur le feu et à partir de la mise sous pression (1er sifflement) compter 45 minutes. Puis retirer du feu, laisser la pression s'échapper puis ouvrir mais ne pas vider l'eau ni retirer la boite, laisser refroidir tel quel, boite dans l'eau. Une fois bien refroidi, vous pouvez ouvrir la boite et transférer le toffee dans un pot de confiture par exemple. Pour la préparation du Banoffee : Placer la crème, un saladier et le un fouet au réfrigérateur en prévision du montage de la chantilly. Mixer les biscuits jusqu'à l'obtention d'une fine chapelure. Faire fondre le beurre (au micro-ondes) et le mélanger à la poudre de biscuits. Dans le fond d'un cercle à pâtisserie ou d'un moule à charnière de 22cm environ, étaler et tasser la préparation obtenue. Placer au réfrigérateur 30 minutes minimum. Etaler le toffee sur la couche de biscuits durcie. Personnellement, je ne mets que les 2/3, un peu plus, de la boite mais cela dépend des gourmands ! Couper les bananes en rondelles généreuses. Les placer en couche uniforme, sans les superposer, sur la confiture de lait. Monter la chantilly, à mi-parcours, ajouter le sucre glace. Étaler uniformément la chantilly sur les bananes. Placer le tout au minimum une heure au réfrigérateur. Au moment de servir, saupoudrer de cacao amer. Et régalez vous ! (Après un repas léger, bien sur...)",15
192,dessert,Gâteau invisible aux pommes et au caramel au beurre salé,"['1.2 kg de pomme fermes ', ' 3 oeuf', ' 12 cl de lait', ' 130 g de farine', ' 50 g de sucre', ' 50 g de beurre', ' 100 g de sucre', ' 40 g de beurre demi-sel', ' 5 cl de crème liquide entière ']"," Préparer le caramel : faire chauffer la crème.  Faire chauffer le sucre jusqu'à ce qu'il devienne caramel blond puis ajouter le beurre coupé en dés et la crème chaude.  Attention aux projections. Remuer jusqu'à obtention d'un caramel crémeux. Préparer la base : fouetter les oeufs avec le sucre.  Lorsque le mélange blanchit, ajouter le beurre fondu, le caramel au beurre salé, la farine et le lait. Couper les pommes pelées en lamelles de 1 mm d'épaisseur à l'aide d'un couteau ou d'une mandoline.  Les ajouter à la pâte.  Préchauffer le four à 200°C (thermostat 6-7) et verser la préparation dans un moule à cake de 24 cm sur 10.  Enfourner pour 40 à 45 minutes de cuisson. Vérifier la cuisson à l'aide d'un couteau.",10
193,dessert,Crème de marrons maison,"['600 g de châtaigne', ' eau', ' 260 g de sucre', ' 1 sachet de sucre vanillé', ' lait']"," Incisez les chataîgnes, puis ébouillantez-les 3 minutes. Eliminez l'écorce et la fine peau. Faites-les cuire 15 minutes à l'autocuiseur, avec 35 cl d'eau. Evacuez la vapeur, otez le couvercle. Passez au moulin à légumes avec l'eau et ajoutez le sucre et le sachet de sucre vanillé. Faites cuire 20 minutes à feu moyen avec un peu de lait pour désépaissir la préparation.",5
194,dessert,Gâteau fondant banane chocolat,"['3 banane', ' 120 g de farine', ' 150 g de sucre', ' 100 g de beurre', ' 3 oeuf', ' 1 poignée de chocolat']"," Beurrez un grand moule rond. Pelez et coupez en dés les 3 bananes, laissez les dans un bol. Faites fondre le beurre à feux doux Séparez les blancs des jaunes d'oeufs. Mettez les jaunes avec le sucre et battez-les au fouet électrique jusqu'à ce qu'ils blanchissent. Ajouter le beurre fondu sans verser le dépôt blanc au fond de la casserole, puis la farine. Fouettez les blancs en neige ferme avec une pincée de sel et incorporez les les petit a petit à la pâte. Versez-la dans le moule en alternant avec les dés de bananes et les pépites de chocolats (quantité variable selon goût!). Enfournez et faites cuire 40 mn à thermostat 6 (180°C). Laissez reposer. Dégustez froid ou encore tiède.",7
195,dessert,Gâteau ultra-moelleux au chocolat sans beurre,"['200 g de chocolat à dessert corsé ', ' 20 cl de crème épaisse', ' 75 g de sucre', ' 100 g de farine', ' 4 oeuf', ' sucre vanillé', ' noix de coco rapée', ' noix', ' amande', ' noisette', ' cannelle ... ']"," Préchauffer le four à 180°C (thermostat 6). Faire fondre le chocolat coupé en morceaux puis lui ajouter la crème et bien mélanger. Séparer les blancs des jaunes d'oeufs. Fouetter les jaunes d'oeufs avec le sucre jusqu'à ce que le mélange blanchisse puis y incorporer le chococlat fondu à la crème tout en remuant. Ajouter progressivement la farine puis délicatement les blancs d'oeufs montés en neige ferme avec une pincée de sel (commencer par détendre le mélange avec une cuillère de blancs d'oeufs avant d'ajouter le reste). Incorporer éventuellement des noix, de la noix de coco, des amandes ou des épices. Verser la préparation dans un moule à manqué beurré et fariné. Enfourner pour 20 minutes de cuisson, une lame plongée dans le gâteau doit ressortir encore humide.",8
202,dessert,Tarte sablée aux myrtilles,"['1 oeuf', ' 60 g de sucre', ' 160 g de farine', ' 80 g de beurre', ' 1/2 cuillère à café de cannelle', ' 1/2 cuillère à café de sel', ' 2 oeuf entiers ', ' 60 g de sucre', ' 80 g de crème fraîche', ' 300 g de myrtille']"," Préparer la pâte sablée :  Travailler l'œuf entier avec le sucre et le sel.  Ajouter la farine en bloc, et remuer de façon à obtenir une poudre sableuse; ajouter la cannelle.  Pétrir enfin le beurre avec ce sable, pour obtenir une pâte, et la mettre en boule, laisser reposer au frais 1 heure.  Étaler la pâte, puis foncer un moule légèrement beurré.  Faire une pré-cuisson à blanc pendant 25 min à 180°C-th 6 (ne pas piquer la pâte!). Cuire 5 min les myrtilles lavées dans une casserole avec le sucre, et les égoutter. Garnir le fond de pâte aux 2/3 avec cette purée de fruits, ajouter la crème à flan obtenue en additionnant simplement les œufs entiers, le sucre, la crème. Terminer la cuisson 20 min à four doux (thermostat 5, 150°C).",9
208,dessert,Chausson aux pommes maison,"['2 pâte feuilletée toutes prêtes ', ' 2 pomme', ' 1 cuillère à soupe de sucre en poudre', ' noisette de beurre', ' compote de pomme 2 yaourts ', ' 1 jaune doeuf']"," Allonger une pâte feuilleté, la piquer, puis étaler la compote dessus.  Peler et couper les pommes en tranches, puis les disposer sur la pâte.  Saupoudrer de sucre, avec quelque noisette de beurre. Recouvrir avec l'autre pâte feuilletée, effectuer la soudure en remontant les bords, puis piquer la pâte. Badigeonner la pâte avec le jaune d'oeuf. Mettre au four pendant 40 min, à thermostat 7 (210°C).",5
209,dessert,Glaçage cupcakes inratable,"['100 g de beurre mou ', ' 300 g de sucre glace', ' 2 cuillère à soupe de lait']"," Les quantités proposées sont valables pour environ 18 mini-Cupcakes ou 9 cupcakes moyens. Pour des quantités plus importantes de cupcakes, il suffit toujours de multiplier les quantités de sucre glace par 3 par rapport à la quantité de beurre, par exemple pour 200 g de beurre il vous faudra 600 g de sucre glace. Le lait doit être utilisé à votre convenance, sachant que le glaçage doit être quand même crémeux mais assez compact. Place à la recette : Commencez par couper le beurre en petits morceaux dans une terrine, il ne doit surtout pas être fondu, mais mou. Travaillez-le avec vos doigts jusqu'à ce qu'il soit assez mou pour être travaillé au fouet électrique. Versez ensuite votre sucre glace sur le beurre et ajoutez le lait. Travaillez le tout un peu à la spatule. Fouettez ensuite avec votre fouet électrique pendant 3 bonnes minutes jusqu'à ce que le mélange devienne bien crémeux. S'il ne se mélange pas bien au bout d'une minute, ajoutez un tout petit peu de lait et dans le cas contraire si il vous parait trop liquide, ajoutez un peu de sucre glace. Votre glaçage est prêt à être utilisé ! Pour ma part je le colore en général avec un peu de jus de betterave pour une jolie couleur rose, naturel et aucun goût ! A déposer sur vos cupcakes avec une poche à douille, et à placer ensuite au réfrigérateur pour une prise plus efficace du glaçage. Je n'en mets pas trop en général sur mes petits gâteaux, je n'aime pas quand c'est trop sucré, question de goût, mais pour les amatrices je trouve ce glaçage moins écœurant que certains. Bon appétit les gourmandes !",13
211,dessert,Mug cake cookie moelleux sans oeuf,"['3 cuillère à café de farine', ' 2 cuillère à café de sucre glace', ' 1 cuillère à café de sucre de canne', ' 1 cuillère à café de levure', ' 4 cuillère à café de lait', ' 1 cuillère à café dhuile de tournesol', ' chocolat']"," Mélanger tous les ingrédients dans l'ordre.  Les pépites ont tendance à aller au fond, n'hésitez pas à en mettre quelques unes de coté que vous rajouterez après cuisson sur le dessus.  Cuisson au micro-onde pendant 45 secondes.",3
213,dessert,Pancakes faciles et rapides,"['1 oeuf', ' 1 cuillère à soupe de sucre blanc ', ' 1 cuillère à soupe dhuile ou de beurre fondu ', ' 150 g de farine', ' 1 bonne cuillère à café de levure', ' 200 ml de lait']"," Battre grossièrement l'oeuf et le sucre dans un saladier. Y rajouter le beurre fondu ou l'huile. Mélanger à part la farine et la levure, puis en mélanger la moitié avec la préparation. Délayer progressivement avec le lait tout en rajoutant l'autre moitié de farine petit à petit (cela évitera de créer des grumeaux). Aucun temps de repos n'est nécessaire, si ce n'est juste le temps de faire chauffer votre poêle à feu moyen. A l'aide d'une petite louche ou d'une grosse cuillère à sauce, déposer des ""ronds"" dans la poêle. Lorsque les bulles apparaissent et éclatent, retourner les pancakes et ne pas les laisser plus d'une min sur l'autre face.",7
220,dessert,Tarte tatin facile et rapide,"['100 g de sucre', ' 50 g de beurre', ' 1 kg de pomme', ' 1 pâte brisée']"," Préparer le caramel :Déposer le beurre en dés dans une casserole, puis verser par dessus le sucre. Laisser cuire à feu doux pendant 5 min sans mélanger, le caramel se fait tout seul. Déposer la caramel sur le fond d'un plat à tarte. Ajouter les pommes coupés en gros dés, puis recouvrir de la pâte brisée. Enfourner pendant 25 min au four à 210°C (thermostat 7). Servir tiède avec une boule de glace vanille.",5
221,dessert,Vacherin,"['200 g de crème fraîche', ' 4 oeuf', ' 50 g de sucre', ' 50 g de sucre glace ou moins ', ' 1 paquet de sucre vanillé', ' 100 g de meringue commerce ']"," Séparer les jaunes des blancs. Travailler la crème fraîche et le sucre vanillé. Monter les blancs en neige, ajouter le sucre glace aux blancs en neige. Mélanger les 2 préparations. Verser dans un moule à charlotte la moitié du mélange, puis les meringues écrasées et le reste de la préparation. Mettre au congélateur. Se sert avec un coulis de fraise, de framboise, de chocolat, etc.",5
235,dessert,Clafoutis à la mirabelle,"['450 g de mirabelle', ' 75 g de farine', ' 3 oeuf', ' 75 g de sucre', ' 30 cl de lait', ' 60 g de beurre']"," Préchauffer votre four à 210°C (thermostat 7). Dénoyauter les mirabelles et les disposer dans un moule beurré. Mélanger la farine avec les oeufs, le beurre, le sucre et le lait. Recouvrir les mirabelles de ce mélange et enfourner pour 15 minutes de cuisson. Baisser le four à 150°C (thermostat 5) et poursuivre la cuisson durant 30 minutes.",5
236,dessert,Salade d'orange à l'huile d'olive (Espagne),"['4 orange', ' 2 cuillère à soupe dhuile dolive vierge premiere pression a froid ', ' 1 cuillère à soupe de sucre selon la teneur de sucre de vos oranges ']"," Séparer les quartiers des oranges et les couper en trois, saupoudrer de sucre et reserver au frigidère au moins 30 mn. Quand les oranges ont bien rendu leur jus, ajouter l'huile d'olive et servir.",2
237,dessert,Gâteau très chocolat (micro-ondes),"['3 oeuf', ' 200 g de chocolat', ' 100 g de beurre', ' 100 g de sucre', ' 75 g de farine']"," Dans un bol, faire fondre le chocolat et le beurre au micro-onde pendant 1 minute et 40 secondes. Dans un saladier, mélanger les oeufs, le sucre et la farine puis ajouter le chocolat et le beurre. Verser le tout dans un moule beurré et mettre au micro-onde puissance maxi pendant 5 minutes. Voilà c'est prêt à déguster. Bon appétit!",4
241,dessert,Tarte aux pêches,"['1 pâte feuilletée', ' 4 pêche mûres ', ' 2 oeuf', ' 75 g de sucre', ' 10 cl de crème fraîche']"," Préchauffer le four à 210°C (thermostat 7). Précuire la pâte sans garniture pendant 15 minutes. Pendant ce temps, mélanger la crème et le sucre aux oeufs battus en omelette. Couvrir la pâte précuite des pêches épluchées et coupées en tranches. Napper le tout du mélange ""oeufs-crème-sucre"" et enfourner pendant 15 minutes.",5
242,dessert,Crêpes (sans lait) ,"['3 oeuf', ' 400 ml deau', ' 250 g de farine', ' 3 cuillère à soupe de sucre en poudre', ' 2 cuillère à soupe dhuile de tournesol', ' sel']", Mélangez tous les ingrédients et faire chauffer dans une poêle à crêpes.,1
244,dessert,Nappage facile au chocolat,"['200 g de chocolat noir', ' 2.5 cl de lait entier', ' 50 g de beurre']"," Faire fondre le chocolat et le beure ensemble. Incorporer le lait. Mélanger doucement et mettre sur le gâteau. NDLR : la recette a été modifiée par la rédaction Marmiton pour réduire la quantité de beurre, comme suggéré dans les commentaires. ",4
249,dessert,Bûche au chocolat,"['1 verre de sucre en poudre', ' 3 oeuf', ' 1/2 verre de farine', ' 1 plaque de chocolat pâtissier', ' 1 cuillère à café de levure chimique', ' 10 noix']"," Mélanger 1 verre de sucre avec un oeuf entier et deux jaunes jusqu’à ce que le mélange soit lisse.  Ajouter une cuillère à café de levure chimique, puis un verre et demi de farine, mélanger le tout.  Dans un autre récipient, monter les deux blancs d’oeuf restant en neige, puis verser avec la pâte et mélanger délicatement.  Mettre le tout dans un plat rectangulaire beurré et placer dans un four préchauffé à 200°C (thermostat 6-7) pendant 10 min.  Pendant la cuisson faire fondre une plaque de chocolat pâtissier à feu très doux ou au bain-marie dans une casserole en remuant constamment, retirer du feu dès que le chocolat est fondu et ajouter 2 cuillerées à soupe de crème fraîche liquide et mélanger.  Retirer le plat du four et démouler sur un torchon préalablement saupoudré de sucre. Etendre sur toute la surface une couche de chocolat fondu, puis rouler la pâte dans le torchon et laisser refroidir une demi-heure dans un endroit frais.  Dresser la bûche sur un plat, la napper de chocolat et décorer avec quelques cerneaux de noix.",7
250,dessert,Gâteau au chocolat au micro-ondes,"['80 g de beurre', ' 100 g de chocolat dessert ', ' 100 g de sucre', ' 30 g de farine', ' 2 oeuf']"," Faire fondre le beurre et le chocolat 1min30 au micro-ondes. Mélanger puis ajoutez le sucre, la farine, les oeufs et bien mélanger. Versez la préparation dans un moule à cake en silicone et faire cuire 4 minutes au micro-ondes. Vérifier la cuisson avec la lame d'un couteau, poursuivre la cuisson par tranches de 30 secondes si besoin.  Laisser le gâteau refroidir avant de démouler.",4
252,dessert,Coupes de crème au mascarpone et framboises façon crumble,"['400 g de framboise entières ', ' feuille de menthe pour la décoration ', ' 250 g de mascarpone', ' 2 oeuf', ' 1 sachet de sucre vanillé', ' 4 cuillère à soupe de sucre en poudre', ' 1 pincée de sel', ' 90 g de farine', ' 70 g de beurre', ' 70 g de sucre en poudre']"," La pâte à crumble : Verser la farine et le sucre dans une terrine, et ajouter le beurre mou, coupé en morceaux. Bien mélanger.  Disposer sur un plat, et mettre au four thermostat 7 (210°C) 30 min environ (jusqu'à ce que la pâte soit bien dorée).  Mélanger à mi-cuisson. Quand la pâte est cuite, sortir du four, et laisser refroidir. La crème au mascarpone : Avec un batteur électrique, mélanger les jaunes d'oeufs avec le sucre en poudre, et le sachet de sucre vanillé, jusqu'à ce que le mélange blanchisse.  Puis ajouter le mascarpone. Mélanger.  Monter les blancs d'oeufs en neige avec une pincée de sel, et les incorporer à la préparation précédente. Prendre 4 verres, et alterner une couche de framboises, une couche de crème au mascarpone, une couche de pâte à crumble.  Terminer par une couche de crumble.  Ajouter 3 framboises entières par coupe, pour la décoration, et quelques feuilles de menthe fraîche. Mettre 2 h au frigo, avant de déguster.",11
253,dessert,Glaçage Blanc,"['200 g de sucre glace', ' 1 blanc doeuf', ' 1/2 citron jus ']", Mélangez oeuf et sucre à la spatule vigoureusement. On obtient une crème blanche.  Ajouter le citron et continuez de battre 10 secondes rapidement.  Nappez.,3
256,dessert,Cupcake moelleux au chocolat,"['100 g de chocolat noir', ' 95 g de beurre', ' 3 oeuf', ' 115 g de sucre en poudre', ' 40 g de farine', ' 8 carré de chocolat compter 1 à 2 carrés par pièce ', ' 30 g de beurre']"," Préchauffez le four à 180°C (thermostat 6) Faites fondre le beurre avec le chocolat, mélangez pour bien lisser. Mettez les oeufs dans un saladier et incorporez le sucre.  Ajoutez ensuite la farine, puis le mélange beurre-chocolat. Répartissez la préparation dans des petits moules en papier sulfurisé (ou silicone), sans dépasser les trois quarts de la hauteur. Enfournez pour 15 min à 180°C.  Vous savez que la cuisson est achevée lorsque la lame d'un couteau enfoncée au coeur du gâteau ressort bien sèche. Pour le glaçage, faites fondre le chocolat avec le beurre. Répartissez le sur le dessus des cup cakes. Bon appétit !",9
257,dessert,Moelleux au chocolat sans gluten (farine de riz),"['200 g de chocolat noir', ' 70 g de sucre', ' 70 g de beurre', ' 70 g de farine de riz ', ' 4 oeuf', ' 180 g de chocolat', ' 200 g de crème entière liquide ']"," Préchauffez le four à 210°C (thermostat 7). Dans un saladier, fouettez les oeufs et le sucre jusqu'à ce que le mélange blanchisse. Faites fondre le beurre et le chocolat, puis mélangez ces deux préparations.  Ajoutez la farine de riz, mélangez bien, la pâte doit être lisse. Versez dans un moule à cake beurré et fariné. Enfournez  et laissez cuire entre 20 et 30 minutes (selon votre  four) en surveillant régulièrement.  La pointe du couteau peut ressortir légèrement humide. Pour le glaçage (facultatif): Une fois cuit, laissez-le tièdir avant de le démouler sur une grille.  Quand il est froid, vous pouvez préparer la ganache: hachez le chocolat ou coupez-le en très petits morceaux. Faites bouillir la crème et sortez la vite du feu (ça déborde!) Versez-la sur le chocolat et mélangez bien : la ganache doit être bien lisse et bien brillante.  Vous pouvez alors en napper le gâteau tout entier! Laissez le glaçage prendre 2 heures au frais...ou pas! Régalez-vous!",13
268,dessert,Gâteau roulé à la confiture,"['4 oeuf', ' 125 g de sucre en poudre', ' 125 g de farine', ' 2 sachet de sucre vanillé', ' 1 cuillère à café de levure', ' 15 g de beurre', ' 1 pot de gelée ou confiture ', ' sucre glace']"," Préchauffez le four à 210°C (thermostat 7).Les oeufs, en séparant les blancs des jaunes. Dans un saladier, mélangez les jaunes avec le sucre.  Ajoutez petit à petit la farine tamisée, le sucre vanillé et la levure. Battez les blancs en neige, puis incorporez-les au mélange précédent.  Tapissez la plaque du four de papier alu bien beurré, et versez ensuite la pâte dessus. Enfournez pour 10 min de cuisson. Une fois la cuisson terminée, roulez le biscuit immédiatement avec le papier sulfurisé. Laissez refroidir, puis déroulez, et retirez le papier.  Etalez la confiture sur la pâte, et roulez-le à nouveau, puis saupoudrez de sucre glace.",9
272,dessert,Pomme d'amour,"['2 pomme', ' 70 g de sucre', ' 10 cl deau']"," Faire un caramel dans une casserole, pendant ce temps peler des pommes. Enfoncer un grand pic en bois dans le centre de chaque pomme, quand le caramel est roux-en faisant très vite- rouler chaque pomme dans celui-ci.",2
273,dessert,Pâte à crêpes à la bière,"['4 oeuf', ' 450 g de farine', ' 33 cl de bière', ' 15 cl de lait', ' 10 g de beurre facultatif ', ' 1 pincée de sel', ' 2 pincée de sucre']"," Mixer tous les ingrédients et laisser reposer un peu la pâte (environ 30 min). Pour les faire cuire j'utilise un appareil à crêpes, mais je pense que ça fonctionne aussi très bien dans une poêle. La recette donnée me sert à faire des crêpes sucrées et salées. Si je ne fais que des crêpes sucrées, je mets plus de sucre dans la pâte et j'ajoute de la cannelle. Bon appétit !",4
276,dessert,Crêpes sans repos,"['250 g de farine', ' 50 cl de lait', ' 1 cuillère à soupe dhuile', ' 1 pincée de sel', ' sucre']", Placez la farine dans un récipient. Y rajouter l'huile & le sel. Mélangez. Puis ajoutez petit à petit le lait. Quand vous obtenez une pâte bien homogène & lisse vous pouvez les cuire à la poêle.,5
279,dessert,Bettelmann (mendiant aux cerises noires),"['6 pain au lait rassis ou des restes de brioches ou de kougelhopf ', ' 1/2 lait', ' 150 g de sucre', ' 1 sachet de sucre vanillé', ' 1 cannelle', ' 100 g de noisette ou amandes moulues ', ' 4 oeuf', ' 1 kg de cerise noires ', ' 3 chapelure', ' 40 g de beurre']"," Porter le lait à ébullition et faire tremper les petits pains au lait. Laisser refroidir et écraser à l'aide de la main ou d'une fourchette.  Ajouter les sucres, la cannelle et les noisettes (ou amandes) moulues. Incorporer un à un les oeufs, puis les cerises. Beurrer un plat creux allant au four. Verser la préparation dans le plat. Saupoudrer avec la chapelure et disposer quelques bouts de beurre. Faire cuire à four chaud (210° - thermostat 7) pendant 1h. Vérifier la cuisson en enfonçant une lame de couteau. Déguster le mendiant tiède ou froid.",4
282,dessert,Cheesecake au citron,"['1 kg de fromage blanc à 20 % ', ' 4 oeuf moyens ', ' 2 citron non traités ', ' 200 g de sucre', ' 1/2 pot de gelée ou marmelade de citron ', ' 1 pincée de sel fin ', ' 400 g de gâteaux secs type sablés ', ' 130 g de beurre', ' 1 cuillère à café de cannelle en poudre ']"," Préchauffez le four à thermostat 5/6 (160°C). Beurrez un moule fond à rond amovible. Couvrez le fond d'un cercle de papier sulfurisé.  Mélangez à la spatule les biscuits grossièrement émiettés avec 130 g de beurre fondu et la cannelle.  Garnissez le moule de pâte (bords compris) sur 5 mm d'épaisseur. Réservez au frais.  Râpez finement le zeste des citrons. Mettez dans le bol d'un robot ménager puis mixer avec le fromage blanc, le sucre, les oeufs et le sel jusqu'à obtenir une masse légère et crémeuse.  Répartissez le mélange dans le moule puis égalisez la surface à la spatule. Faites cuire pendant 1h10 environ au centre du four.  Eteignez le four, laissez refroidir le biscuit, porte entrouverte. Dans une petite casserole, faites fondre la gelée de citron sur feu doux. Versez un demi-centimètre de gelée tiède sur la surface du gâteau.  Réservez au réfrigérateur pendant 5h au moins.  Démoulez le cheesecake sur un plat en le laissant posé sur le fond du moule. Servez bien frais.",10
284,dessert,Compote pomme et fruit de la passion,"['1 fruit de la passion ou 2 petits ', ' 2 pomme royal gala ou autre ', ' sucre']"," Couper le(s) fruit(s) de la passion.  Récupérer le jus dans un bol. Mettre les pépins dans un chinois et récupérer le jus et la pulpe dans un bol. Éplucher, épépiner et couper les pommes en morceaux. Mettre un fond d'eau dans la casserole et y mettre à cuire les pommes. Quand les pommes sont molles, ajouter le jus et la pulpe du fruit de la passion et éventuellement du sucre. Laisser infuser 5 minutes puis mixer selon votre goût (lisse, avec des morceaux etc...) Déguster plutôt à température ambiante ou froid.",7
285,dessert,Charlotte aux fruits au mascarpone,"['250 g de mascarpone', ' 70 boudoir biscuits à la cuillère ', ' 3 oeuf ou 4 petits ', ' 70 g de sucre à varier selon les goûts ', ' 900 g de fruits au sirop pêches', ' abricots', ' lichis ou même salade de fruits ']"," Coupez les fruits en grosses lamelles, en réservant le sirop dans un bol ou une assiette à soupe. Dans un plat, mélangez les jaunes d'oeufs et le sucre, ajoutez la mascarpone et mélangez jusqu'à obtenir une crème homogène. Battez lez oeufs en neige ferme (une pinée de sel facilite l'opération) et incorporez les délicatement à la préparation ci-dessus. Trempez quelques secondes les boudoirs 2 par 2 ou 3 par 3 dans le sirop, jusqu'à ce qu'ils soient imbibés mais pas ramollis, puis tapissez-en les bords du moule à charlotte. Tapissez le fond du plat de fruits coupés, que vous recouvrez de la préparation à la mascarpone (2 à3 cm), puis d'une couche de boudoirs imbibés. Alternez ainsi les couches jusqu'en haut du plat.  Posez dessus une assiette, éventuellement avec un poids dessus. Laissez au réfrigérateur ou au freezer 12 heures ou plus. Pour démouler plus facilement, on peut passer le plat quelques secondes sous l'eau chaude.",8
