,categorie,nom_recette,ingredients,preparation,nb_etape
596,plat,Châtaignes cuites à l'eau,"['1 kg de châtaigne', ' 1 branche de fenouil', ' gros sel']"," Inciser l'écorce des châtaignes. Faire bouillir une grande casserole d'eau salée avec le fenouil. Y plonger les châtaignes et laisser cuire à ébullition pendant 30 minutes. Vérifier la cuisson, elles doivent s'éplucher facilement, tout en étant farineuses et fondantes. Servir les châtaignes en accompagnement ou en plat.",4
609,plat,Lapin rôti au four à la moutarde,"['1 barquette de lapin toute prête en grande surface 6 morceaux ', ' 30 g de beurre', ' 1 gousse dail', ' 4 pomme de terre', ' 1/2 verre deau', ' 1/2 verre de vin blanc sec', ' 2 cuillère à soupe de moutarde forte ', ' 1 briquette de crème à base de soja ']"," Faire dorer à la poele avec le beurre les morceaux de lapin.  Une fois dorés, les disposer dans un plat allant au four. Y ajouter la gousse d'ail et les pomme de terre (épluchées et découpées en gros morceaux). Arroser d'eau et de vin blanc (la viande doit être immergée à moitié).  Badigeonner le tout de moutarde forte au pinceau. Mettre au four à 210°C (thermostat 7) pendant 45 min, en retournant à mi-cuisson. Ajouter la crème à base de soja et remettre à four chaud pendant 15 min. Récupérer le jus de cuisson et le faire prendre avec un peu de maïzena sur feu vif.  Servir sauce à part pour le goût de chacun.",7
615,plat,risotto aux poireaux,"['3 poireau de belle taille ', ' 4 louche de riz pour risotto', ' 1 cube de bouillon de légumes ou un kub or ', ' 1 vin blanc sec', ' parmesan râpé', ' beurre', ' crème fraîche']"," Emincer le blanc des poireaux.  Faire fondre le bouillon cube dans 3/4 litre d'eau bouillante.  Faire fondre 25 g de beurre dans une casserole ou une sauteuse à revêtement anti adhésif.  Mettre les poireaux à étuver sans qu'ils brunissent (5 mn environ).  Ajouter le riz. Remuer et laisser le riz devenir translucide sur feu vif.  Ajouter le vin blanc et attendre qu'il s'évapore.  Ajouter le bouillon, baisser le feu, et attendre qu'il soit totalement absorbé (environ 20 mn).  A la fin, ajouter 3 cuillères à soupe de crème fraîche, du poivre et du parmesan râpé. Remuer la préparation, puis la laisser reposer 3 mn hors du feu, avec un couvercle. Goûter pour vérifier s'il est nécessaire de saler (le bouillon et le fromage l'étant déjà). Servir bien chaud.",8
632,plat,Pâte à tarte (sans gluten),"['200 g de farine sans gluten', ' 50 g de beurre froid ', ' 1 jaune doeuf', ' 2 cuillère à soupe deau froide ']"," Verser la farine dans un plat creux, mettre au centre le beurre coupé en morceaux.  Travailler la pâte, jusqu'à obtenir la consistance du sable. Ajouter le jaune d'oeuf, et mélanger Ajouter suffisamment d'eau, pour obtenir une boule. Travailler la pâte quelques instants, et l'applatir au rouleau.",5
655,plat,Pommes chips maison,"['500 g de pomme de terre', ' huile', ' sel']"," Très simple. Coupez les pommes de terre très finement (l'idéal est d'utiliser une rape spéciale). Mettez-les à trempee dans l'eau, puis égouttez-les. Remettez-les dans l'eau, puis égouttez-les cette fois-ci dans un torchon. Placez-les dans une friteuse chaude. En cours de cuisson, vous sortez-les pendant environ 5 minutes, puis remettez-les, et cuisez comme vous aimez (très grillés, ou pas trop...). Bon appétit !",4
658,plat,Camembert à la braise,"['1 camembert fait mais ferme ', ' 1 huile dolive', ' herbes de provence ou des brins de thym ']", Verser un filet d'huile d'olive au centre d'un papier d'aluminium. Poser le camembert dessus. Verser le reste de l'huile d'olive sur le camembert et les herbes. Fermer l'aluminium en papillote et mettre dans les braises du barbecue.,3
677,plat,Parmentier de poisson rapide,"['2 oignon hachés ', ' 4 filet de poisson éventuellement surgelés ', ' 1 cuillère à soupe de farine', ' 20 cl de lait', ' 500 g de purée de pommes de terre ', ' 10 g de beurre', ' 50 g de fromage râpé']"," Faites cuire les filets de poisson à couvert 2 min au micro-ondes. Emiettez-les. Hachez les oignons et faites-les fondre doucement à la poêle dans un peu de matière grasse. Ajoutez les filets de poisson coupés en petits morceaux, écrasez un peu. Saupoudrez de farine, puis ajoutez le verre de lait, et laissez cuire une dizaine de minutes en écrasant le poisson. Dans un plat beurré, étalez successivement une couche de purée, une couche de poisson et finir par la purée. Saupoudrez de fromage et enfournez à 200°C (thermostat 6-7) pendant 20 min pour gratiner.",6
687,plat,Tomates farcies à la viande hachée faciles et rapides,"['8 tomate à farcir ', ' 4 cuillère à soupe dhuile', ' 1 jaune doeuf', ' 1 oignon', ' fines herbes persil ; ail ; persil ; sel ', ' 800 g de viande hachée ', ' gruyère', ' 2 cuillère de riz']"," 1. Faire chauffer le four thermostat 7 2. Couper les tomates, évidez-les avec une petite cuillère. Salez l'intérieur et retournez-les sur un plat pour leur faire rendre l'eau. Conservez la pulpe de tomate recueillie. Hachez finement l'oignon. 3. Dans une casserole, faites chauffer 2 cuillères à soupe d'huile. Ajoutez ensemble le riz et l'oignon haché, tournez vivement pour que le riz s'imprègne bien de matière grasse. Ajoutez alors la pulpe de tomate et un demi-verre d'eau. Salez et poivrez. Couvrez et laissez cuire à feu doux 15 minutes. 4. Mélangez cette préparation à la viande hachée. Ajoutez les fines herbes et le jaune d'oeuf. Poivrez et mélangez. 5. Garnissez les tomates de cette farce. Rangez-les dans un plat allant au four. Saupoudrez-les de fromage râpé. Arrosez-les d'huile. 6. Faites cuire 25 minutes à four chaud. Vous pouvez ajouter un petit suisse à la farce pour la rendre plus moelleuse",7
717,plat,Filet mignon en croûte,"['2 filet mignon de porc ', ' 2 pâte feuilletée', ' 4 tranche de jambon blanc', ' 200 g de gruyère râpé', ' 2 oignon jaune', ' 2 jaune doeuf']"," Peler et émincer les oignons. Les faire revenir dans une sauteuse avec 20 g de beurre pendant 3 minutes environ. Les retirer de la sauteuse et les réserver.  Dans la même sauteuse, faire revenir les filets mignons de chaque côté. Laisser cuire 10 minutes à feu doux. Réincorporer les oignons. Poursuivre la cuisson pendant 5 minutes. Saler, poivrer. Réserver. Dérouler les pâtes feuilletées.  Déposer sur chaque pâte deux tranches de jambon et 100 g de gruyère. Saler et poivrer. Y déposer un filet sur chaque pâte garnie et napper de sauce aux oignons. Replier la pâte autour de la viande et souder les bords à l'aide du jaune d'oeuf préalablement battu et d'un pinceau alimentaire. Enfourner pour 45 minutes de cuisson à 200°C (thermostat 6-7).",10
727,plat,Crêpes natures pour garniture salée ou sucrée,"['250 g de farine', ' 50 cl de lait', ' 3 oeuf', ' huile']"," Mélangez la farine, les oeufs et le lait à l'aide d'un fouet jusqu'à obtention d'une pâte homogène sans grumeaux. Préchauffez la poêle huilée. Faites sauter et dégustez !!",3
733,plat,Knepfle,"['1 kg de farine', ' 10 oeuf entiers ', ' 400 g deau', ' sel']"," Mélangez les œufs à la farine. Incorporez de l'eau jusqu'à ce que la préparation devienne souple (sans grumeaux) et tombe de la cuillère en bois par gros filets. Elle ne doit en aucun cas couler. Faites chauffer une grande casserole d'eau bien salée. Quand elle arrive à ébullition, stabilisez-la à faibles bouillons. Etalez une couche de pâte d'environ 3 millimètres d'épaisseur sur une petite planchette en bois mouillée, puis à l'aide d'une spatule métallique, raclez la pâte par petites avancées de 3 à 4 millimètres et faites-la tomber dans l'eau frémissante. Pour vous faciliter la tâche, trempez régulièrement la spatule dans l'eau. Pochez-les 3 minutes, puis sortez-les à l'aided'une écumoire et laissez-les égoutter. Faites fondre dans une poêle un peu de beurre avec un peu d'huile. Places-y les knepfle. Faites-les dorer en les retournant régulièrement.",9
751,plat,Filet mignon de porc sauce champignons de Paris,"['2 filet mignon de porc ', ' 2 oignon blanc', ' 5 champignon de paris à émincer ', ' 80 cl de crème uht épaisse ', ' 3 cuillère à soupe de fond de veau', ' 1 cuillère à soupe dhuile dolive']"," Tout d'abord, coupez en morceaux vos filets mignon. Faites revenir dans un plat les oignons émincés dans de l'huile d'olive à feu normal. Mélangez.  Une fois revenus, mettez les champignons de Paris émincés ainsi que le filet mignon préalablement coupé et laissez cuire toujours à feu normal. Diluez le fond de veau dans un petit verre d'eau chaude puis incorporez-le. Mélangez. Mettez la crème UHT, mélangez bien, portez le feu à pleine puissance jusqu’à ébullition de la crème pendant 1 à 2 min tout en mélangeant. A feu doux, laissez mijoter 15 min environ.",6
753,plat,Fondue bressane,"['4 escalope de dinde ou de poulet ', ' 1 jaune doeuf', ' chapelure', ' huile pour fondue ']"," Coupez la viande en dés. Chaque convive trempe la viande dans l'oeuf, la chapelure et l'huile chaude.  Un régal.",2
767,plat,Pâte feuilletée,"['200 g de farine', ' 50 g de farine pour le travail ', ' 1 cuillère à café de sel', ' 100 g deau', ' 200 g de beurre']"," Mettre la farine tamisée et le sel dans la terrine, creuser une fontaine, y verser les 3/4 de l'eau.  Pétrir vivement du bout des doigts, sans presque travailler la pâte pour ne lui donner aucune élasticité. La détrempe devra avoir la même consistance que le matière beurre, plutôt ferme que molle; laisser reposer 20 min. Fariner légèrement la planche, étendre la détrempe sur 1 cm d'épaisseur, et mettre le beurre au milieu. Rabattre les quatre pans de la pâte pour l'enfermer.  Etendre la pâte au rouleau en une bande longue, étroite, régulière, que l'on amincit jusqu'à ce qu'on commence à apercevoir le beurre. Plier la pâte en 3, en rabattant un des bouts sur le milieu de la pâte, et l'autre bout par-dessus le premier. C'est ce qu'on appelle donner un tour.  Mettre le morceau de pâte dans l'autre sens (mettre le côté plié toujours à droite), et laisser reposer la pâte au frais environ 20 min. Recommencer à l'allonger au rouleau, puis plier en 3, c'est le 2ème tour; laisser reposer la pâte au frais environ 20 min.  Recommencer, laisser reposer au frais 20 min entre chaque tour, et donner 6 tours. On peut donner plus de tours, la pâte gagne alors en légèreté.",10
774,plat,Les vraies frites belges,"['1 kg de pomme de terre type bintje ', ' 3 l dhuile de friture']"," Rien ne remplace le goût des vraies frites fraîches. Abandonnez vos surgelées, et essayez la vraie recette traditionnelle... Peler, et laver les pommes de terre, et les sécher individuellement. Dresser un essuie-tout sur la table de travail, et couper de larges tranches de 1 cm d'épaisseur dans chaque pommes de terre. Sécher chaque tranche individuellement.  Couper ensuite les frites en bâtonnets de 1 cm de côté. Pendant ce temps, faire chauffer l'huile à 160°C.  Plonger la moitié des frites dans l'huile, et laisser cuire pendant 8 min, en secouant régulièrement, pour éviter que les frites ne collent. Après cuisson, égouter les frites en les secouant au-dessus de la friteuse, et déposer une couche sur du papier absorbant. Recommencer la même opération, avec l'autre moitié des frites. Remonter la température de la friteuse à 190°C, quelques minutes avant de servir.  Plonger alors les frites pré-cuites, pendant 4 min, dans l'huile brûlante, pour bien les colorer. Secouer régulièrement.  Travailler, à nouveau, avec la moitié des frites, par bains de cuisson. Une fois cuites, égoutter à nouveau vos frites, en les secouant au dessus de la friteuse.  Verser les immédiatement dans un plat couvert de papier absorbant, et saler avant de servir.  Secouer encore vos frites une dernière fois!",13
817,plat,Rougaille tomates (Madagascar),"['3 tomate bien mûres ', ' 2 oignon verts ou des cébettes ', ' 1 couteau de pâtes de piments verts ', ' 1 pincée de sel', ' 2 cuillère à soupe dhuile darachide ou de tournesol ']"," Eplucher les tomates. Les au couteau (surtout ne pas utiliser de robot électrique, cela fait de la purée, mais ne hache pas!). Mettre les tomates hachées dans un bol et les saler. Hacher les oignons verts ou cébettes avec le vert. Incorporer les oignons aux tomates. Incorporer l'huile et la pâte de piments. Mettre au frais 1 h. Manger avec du riz thaï ou basmati. Idéal pour accompagner une grillade.",5
831,plat,Pâtes au thon et à la tomate,"['400 g de pâtes type coudes rayés ou penne ', ' 1 boîte de tomates concassées', ' 1 boîte de thon au naturel ', ' 1 oignon émincé ', ' thym et laurier ']"," Mettre de l'eau à bouillir et faire cuire les pâtes. Emincer l'oignon finement et le faire revenir dans un peu d'huile d'olive. Ajouter les tomates et faire réduire pendant 5 minutes à feu moyen avec le thym et le laurier. Assaisonner. Ajouter le thon émietté pour le réchauffer. Une fois les pâtes cuites, les égoutter et les mélanger à la sauce dans le plat de service ou directement dans la sauteuse.",4
846,plat,Riz japonais (vinaigré),"['400 g de riz japonais ou du riz rond ', ' 40 cl deau', ' 5 cl de vinaigre de riz', ' 2 cuillère de sucre', ' 1 pincée de sel']"," Laver le riz 3 fois (afin d'enlever tout les résidus). Si vous mettez plus de riz, il est à vérifier si l'eau est claire au bout du troisième rinçage, sinon il faut continuer.   Mettre le riz rincé dans un fait tout par exemple, puis verser les 400ml d'eau. (Il faut savoir qu'il y a autant de riz que d'eau au niveau du poids). Faire en sorte que l'eau couvre bien le riz.   Couvrir avec un couvercle (obligatoire). Mettre à feu fort jusque la première ébullition, et diminuer à feu moyen pour une dizaine de minutes.   Les 10 min passées, ne touchez surtout pas le couvercle, la vapeur est essentielle. Laisser reposer encore une dizaine de minutes.  Pendant que le riz se prépare, chauffer à feu moyen le vinaigre-sucre-sel. Cela ne doit pas bouillir pour ne pas laisser s'échapper de la vapeur. Lorsque le sucre fond, mettre de côté pour refroidir.  Mettre dans un saladier-cul de poule le riz (prêt) et le vinaigre, pour ensuite mélanger délicatement afin que le riz ne se transforme pas en une bouillie.  Il faut que le riz refroidisse afin qu'il soit collant comme dans les sushi, maki.   Dès que c'est froid, c'est prêt !  Bonne dégustation.",9
861,plat,Pizza reine très simple,"['pâte à pizza', ' sauce tomate pour pizza ', ' champignon de paris', ' jambon', ' gruyère râpé']"," Préchauffer le four à 220°C (thermostat 7/8). Faire revenir les champignons à la poêle sur feu doux quelques minutes, sans les laisser griller. Étaler la pâte et la badigeonner de sauce tomate. Disposer dessus le jambon et les champignons. Recouvrir de gruyère râpé. Enfourner pendant 30 ou 35 minutes à four chaud en surveillant de temps à autre.",6
873,plat,Risotto de saumon frais,"['500 g de riz pour risotto', ' 1.5 l de bouillon de volaille et de poisson ', ' 15 cl de vin blanc', ' 1 oignon', ' 1 gousse dail finement hachée ', ' 1 cuillère à soupe dhuile dolive', ' 3 pavé de saumon frais']"," Dans un wok ou une grance poêle, faire revenir l'oignon émincé dans l'huile chaude. Ajouter le riz, remuer jusqu'à ce qu'il devienne translucide. Mouiller avec le vin blanc et remuer jusqu'à évaporation. Verser les bouillons (une louche, puis, après évaporation, une autre). Couper le saumon en dés grossiers et les incorporer au riz, ainsi que l'ail. Verser le reste du bouillon petit à petit, saler, poivrer. Tourner continuellement la préparation, goûter de temps en temps et servir lorsque le riz est fondant tout en gardant de la fermeté...(le plus dur!)",7
874,plat,Saucisse fraîche,"['2 kg dépaule de porc ', ' 3 kg de poitrine de porc fraîche ', ' 100 g de sel 20 g par kg de viande ', ' 25 g de poivre 5 g par kg de viande ', ' 1 sachet de boyau pour saucisse', ' 3 gousse dail facultatif ', ' 20 cl de vin rouge facultatif ', ' 1 viande et lembout pour faire les saucisses ']"," La veille : Découper la viande en fines lanières afin de la passer à la machine à hacher la viande. La conserver au frais.  Le lendemain : Installer la machine à hacher sur une table avec un récipient qui recevra la chair à saucisse et mettre à tremper dans un bol les boyaux dans de l'eau vinaigrée.  Passer dans le hachoir la viande en alternant l'épaule et la poitrine une fois toute la viande hachée, ajouter le sel et le poivre, et bien malaxer le tout pendant 15 minutes, plus elle sera mélangée, meilleure elle sera. Faire bouillir à petit feu le vin et les 3 gousses d'ail, pendant 10 minutes, le vin sera réduit de moitié. Laisser refroidir. Pendant ce temps rincer les boyaux sous le robinet en les ouvrant bien pour que l'eau coule à l'intérieur. Enlever le disque du hachoir et mettre l'embout à saucisse en place. Enfiler tout le boyau sur l'embout à saucisse laisser un peu dépasser vers l'extérieur.  Vider le vin et l'ail dans une gaze ou un petit chiffon au dessus de la chair et bien presser le tout afin d'en extraire un maximum de jus. Remalaxer le tout encore pendant 10 minutes. Ceci étant terminé, les choses sérieuses commencent.  Mettre la chair dans le machine et tourner la manivelle, la chair va apparaître dans le boyau une fois qu'elle sera au bout.  Fermer le boyau avec une ficelle alimentaire et continuer cette opération jusqu'à ce que le boyau soit terminé. Remettre un nouveau boyau et ainsi de suite jusqu'à ce qu'il n'y ai plus de chair. Toute la saucisse étant terminée, la piquer sur toute sa surface avec une aiguille afin que l'air sorte et qu'elle s'égoutte un peu. La suspendre une journée dans un endroit très frais et noir. On peut la consommer de suite ou la mettre au congélateur, sans problème. La même recette vaut pour du saucisson, le boyau sera plus gros tout simplement et le temps de sèchage beaucoup plus long.  P.S: petite astuce pour piquer la saucisse : je prends un bouchon que je coupe en deux, je le traverse avec des épingles à têtes (une dizaine environ) et le tour et joué.",20
893,plat,Farce maison pour tomate et courgette,"['4 tomate', ' 3 courgette', ' 300 g de viande hachée de boeuf ', ' 6 tranche de jambon blanc', ' ail', ' persil plat ', ' 2 oignon', ' 2 tranche de pain de mie', ' 1 verre de lait', ' 2 jaune doeuf', ' 3 cuillère à soupe dhuile dolive', ' poivre mélange des cinq baies ', ' sel']"," Faire tremper les 2 tranches de pain de mie dans le lait, dans 1 bol. Dans un saladier mélanger la viande hachée avec le jambon préalablement coupé et haché au mixeur. Mixer le persil plat , l'ail et les oignons . Incorporer à la  préparation dans saladier. Ajouter le pain de mie imbibé de lait, les 2 jaunes d'oeufs et l'huile d'olive, le sel et le poivre.  Bien malaxer, c'est prêt!!! Mettre un fond d'huile d'olive dans vos plats, ainsi que la pulpe des tomates évidées mixée. Garnir vos tomates et vos courgettes de farce et les disposer dans vos plats. Faire cuire au four pendant 30 min à thermostat 8. Accompagner avec du riz.",10
