,categorie,nom_recette,ingredients,preparation,nb_etape
367,entree,"Tarte thon, tomate et moutarde","['1 pâte feuilletée', ' 2 boîte de thon moyennes ', ' 2 tomate rondes ', ' 3 cuillère à soupe de moutarde fine et forte ! ', ' 2 oeuf entiers ', ' 20 cl de crème fraîche semi-liquide ou épaisse ', ' 3 cuillère à soupe de lait', ' 1 pincée de sel', ' 2 pincée de poivre + 5 baies ']"," Etaler la pâte feuilletée sur un moule à quiche, piquer le fond de la pâte, puis recouvrir le fond avec la moutarde. Emietter le thon et le répartir sur le fond de la pâte.  Laver les tomates et les essuyer, puis les couper en rondelles moyennes, et les disposer sur le thon. Battre les oeufs en omelette, ajouter la crème fraîche plus le lait.  Saler et poivrer. Ajouter ce mélange sur la pâte, thon, tomate. Mettre au four (pré-chauffé à 200°C/th 6-7), et cuire environ 40 min (jusqu'à ce que la tarte soit dorée sans être trop brunie!).",7
370,entree,Quiche au poivron et au fromage de chèvre,"['1 pâte feuilletée', ' 1 poivron', ' 1 bûche de fromage de chèvre', ' 20 cl de crème liquide', ' 3 oeuf', ' huile dolive', ' sel', ' poivron']"," Dérouler la pâte feuilletée dans un moule à tarte en conservant la feuille de cuisson.  Couper le poivron en dés et le faire revenir dans un peu d'huile d'olive.  Couper la bûche de chèvre en rondelles.  Mélanger la crème, les oeufs, sel et poivre.  Mettre les dés de poivron et les rondelles de chèvre dans le fond de tarte.  Ajouter le mélange crème-oeufs.  Faire cuire environ 45 min à 220°C.",7
375,entree,Soleil fromage ail persil jambon,"['2 pâte feuilletée', ' 150 g de fromage frais type st-morêt ', ' 2 gousse dail', ' 2 tranche de jambon', ' 1 bouquet de persil', ' 1 jaune doeuf']", Préchauffer votre four à 180°C (thermostat 6). Mixer l'ail et persil et les mélanger avec le fromage frais. Dérouler 1 pâte feuilletée. La tartiner de fromage/ail/persil. Recouvrir avec les tranches de jambon. Recouvrir avec la 2ème pâte feuilletée. Mettre un verre au centre puis découper des rayons. Tourner les parts un coup à gauche et un coup à droite. Peindre avec un jaune d'oeuf dilué avec un peu d'eau. Enfourner pour 20 min de cuisson.,7
432,entree,Verrine à la mousse de foie gras,"['190 g de foie gras', ' 15 cl de crème fleurette']", Mettre dans une casserole la crème fleurette et le fois gras coupés en morceaux. Attendre qu'il fonde entièrement dans la crème. Mixer le tout avec un mixeur plongeur et mettre au réfrigérateur pendant 2 h. Sortir la préparation et la mixer jusqu'à la formation d'une mousse onctueuse. Mettre dans les petites verrines.,5
469,entree,Croissants au jambon,"['1 oignon', ' 2 cuillère à soupe dhuile', ' 1 cuillère à café de farine', ' 3 cuillère à soupe de vin blanc sec', ' 1 cuillère à soupe de moutarde forte ', ' 3 cuillère à soupe de crème fraîche', ' 230 g de pâte feuilletée pré-étalée ', ' 4 tranche de jambon blanc', ' 60 g de gruyère râpé', ' 15 g de beurre', ' 1 jaune doeuf']"," 1/ Pelez et émincez l'oignon. Faites le dorer dans l'huile. Ajouter la farine et le vin. Faites cuire 5 mn. Dans un bol, fouettez la moutarde et 2 cuillères à soupe de crème. Incorporez l'oignon cuit.  2/ Déroulez la pâte feuilletée. Coupez 8 triangles réguliers. Nappez chaque triangle de pâte avec la crème, recouvrez de jambon puis de mélange à l'oignon.  3/ Saupoudrez de gruyère râpé une moitié de chaque triangle de pâte, en partant de la base. Roulez-les en croissants. Préchauffez le four à 180°C (Th 6 ).  4/ Beurrez la plaque du four. Badigeonnez les croissants à l'oeuf battu. Faites les cuire pendant 20 mn. Servez aussitôt.",4
470,entree,Pâte de farine de blé tendre pour foccacia et pide,"['20 cl deau à 20°c température ambiante ', ' 150 g de farine type t45 ', ' 1 cuillère à café de levure fraîche au rayon frais ', ' 15 cl deau à 20°c ', ' 1 cuillère à soupe dhuile dolive', ' 375 g de farine type t45 ', ' 1.5 cuillère à café de sel fin ']"," Mélangez les ingrédients du ferment dans une saladier, couvrez d'un linge et laissez lever 2h à température ambiante en remuant une fois au bout d'1h. Le mélange va présenter des bulles et aura doublé de volume. Préparez la pâte :  versez l'eau et l'huile sur le ferment en fouettant. Si vous voulez réaliser une foccacia, ajoutez le malt. Ajoutez la farine et le sel sur le mélange et malaxez jusqu'à obtenir une pâte granuleuse et collante. Enduisez la pâte d'huile, tout comme le plan de travail, et étirer la avec à la main.  Disposez la pâte sur une plaque et garnissez selon vos goûts !",6
498,entree,Pain Vrémy : pain farci,"['1 pain', ' 150 g de jambon en dés ', ' 250 g de fromage frais', ' 250 g de gruyère râpé', ' 10 g de beurre mou ', ' 2 oeuf', ' 10 cornichon en rondelles ', ' 1 cuillère à soupe de moutarde']", Préchauffer le four à 200°C (thermostat 6-7). Ouvrir le pain et enlever la mie. Mélanger tous les autres ingrédients. Remplir le pain évidé avec la préparation. Emballer le pain de 3 tours d'aluminium. Enfourner pendant 25 min. Mettre au réfrigérateur jusqu'au lendemain. Servir frais et en tranches.,8
499,entree,Soupe froide courgette et tomate,"['400 g de courgette', ' 100 g de tomate', ' 2 gousse dail', ' 30 cl de bouillon de légumes ', ' 4 cuillère à soupe dhuile dolive', ' 8 feuille de basilic', ' citron', ' sel']"," Pelez les gousses d'ail et mettez-les dans une marmite avec le bouillon, la moitié de l'huile et du sel.  Ebouillantez les tomates 10 sec, puis pelez-les, coupez les en deux et éliminez-en les graines. Hachez grossièrement la pulpe et ajoutez-la dans la marmite. Portez à ébullition et laisez cuire 5 mn à feu vif.  Lavez les courgettes, épongez-les et coupez-les en petits morceaux, ajoutez-les dans la marmite et laisser cuire 10 mn. Laissez refroidir.  Mixez la soupe avec le reste de l'huile, le basilic et je jus de citron.  Réservez au réfrigérateur, 2 h au moins.",5
503,entree,Salade saumon tomates avocats,"['2 tomate', ' 2 avocat bien mûrs ', ' 4 tranche de saumon fumé', ' 1 cuillère à soupe de poivre 5 baies', ' 1 citron', ' 1 cuillère à soupe dhuile dolive']"," Commencer par préparer la marinade pour la saumon : Mélanger le jus de citron avec l'huile d'olive et le poivre 5 baies. Couper ensuite les tranches de saumon en morceaux grossier. Les mettre à mariner au réfrigérateur pendant une demi heure à une heure. Couper les avocats et les tomates en dés. Une fois le saumon mariné, mélanger aux tomates et avocats. Rectifier l'assaisonnement si nécessaire.",6
512,entree,Verrines poivron et fromage frais,"['2 poivron rouge', ' 150 g de fromage frais à tartiner type st môret ', ' 15 cl de crème fraîche entière liquide ', ' sel', ' poivre 5 baies']"," Couper les poivrons en 2 et les épépiner. Les déposer sur la plaque du four position haute et chauffer jusqu'à ce que la peau ""cloque"". Dès leur sortie du four, les enfermer dans un sachet plastique 2 minutes. Ils s'éplucheront plus facilement. Une fois éplucher, les mixer. Saler et poivrer selon votre convenance. Mélanger le fromage et la crème. Le mélange ne doit être ni trop liquide ni trop épais. Verser dans une verrine la préparation au poivron puis à mi-hauteur ajouter celle au fromage. (Les deux préparations ne se mélangent pas) Mettre au frais et déguster en entrée ou à l'apéritif.",8
529,entree,Tarte chèvre miel,"['1 rouleau de pâte brisée', ' 6 tranche de bûche de chèvre', ' 1 poignée de gruyère râpé', ' 1 oignon', ' 3 cuillère à soupe de miel', ' 10 cl de crème fraîche liquide']"," Piquer la pâte brisée avec une fourchette et l'enfourner à 200°C, thermostat 6-7, environ 10 min. Pendant ce temps, couper l'oignon en dés et le faire suer à l'huile d'olive dans une poêle. Quand les oignons ont bien blondis, y ajouter la crème. Lorsque la pâte commence à dorer, la sortir du four et verser dessus les oignons à la crème. Déposer sur la tarte les rondelles de chèvre. Parsemer de gruyère surtout sur les bords de la pâte pour éviter qu'elle ne se dessèche. Verser le miel en ruban sur toute la tarte. Enfourner à nouveau le temps de gratiner le fromage.",8
540,entree,Artichaut nature (au micro-onde),['1 artichaut par personne '], Couper la queue de l’artichaut à ras ou à 3 cm (tout dépend si vous souhaitez manger la queue !).  Laver l’artichaut à l’eau. Le baigner rapidement dans un saladier rempli d’eau vinaigrée. Rincer à nouveau à l’eau claire. Egoutter l’artichaut puis l’envelopper dans du film plastique passant au micro-onde (l’artichaut doit être emballé bien hermétiquement). Peser l’artichaut (ou les artichauts). Déposer l’artichaut emmailloté sur une assiette. Mettre au micro-onde à 1000 W et faire cuire 1 minute pour 100 g.   Désenvelopper l’artichaut et laisser refroidir avant de déguster avec une vinaigrette. Exemples : 1 artichaut de 500 g => 5 min au micro-onde à 1000 W. 2 artichauts de 800 g au total => 8 min au micro-onde à 1000 W.,10
553,entree,Croque-monsieur à la crème,"['2 tranche de pain de mie tranché ', ' 2 tranche de fromage spécial croque monsieur cheddar ou autre ', ' 1 tranche de jambon blanc sans gras ', ' 2 cuillère à soupe de crème fraîche', ' 1 poignée de gruyère râpé']"," Badigeonner les tranches de pain de mie d'une face de crème fraîche, y déposer 1 tranche de cheddar (ou autre fromage spécial 'croques monsieur'), une demi-tranche de jambon blanc puis à nouveau 1 tranche de fromage et enfin la tranche de pain de mie que l'on recouvre de crème fraîche et de gruyère râpé. Mettre au four thermostat 8 pendant 6 mn, puis sur grill pendant 3 minutes.",2
563,entree,Assiette de foie gras en fête,"['1 pâte feuilletée', ' 4 tranche de foie gras mi-cuit ', ' 8 cuillère à café de figue', ' 8 demi de poire en boîte ', ' 30 g de beurre salé ', ' 4 pincée de fleur de sel', ' 1 pincée de cannelle en poudre ']"," Préchauffer le four à 180°C (thermostat 6). Étaler la pâte feuilletée, et utiliser des tasses à thé pour former des cercles d’environ 10 cm de diamètre. Retirer ces cercles, et les piquer avec une fourchette.  Les enfourner à 180°C, pendant environ 10 min.  Mais surveillez bien, car d’un four à l’autre, la cuisson peut être différente... et pas de pâte brûlée dessous, svp ! Vous pouvez préparer ce point la veille, et mettre les cercles feuilletés dans une boîte à biscuits. Dans chaque assiette, déposer un fond feuilleté et une tranche de foie gras par dessus. Une pincée de fleur de sel sur chaque tranche de foie gras. A côté, dans chaque assiette, déposer 2 cuillères à café de confit de figues. Puis, faire fondre le beurre salé dans une poêle, et y faire revenir les poires, 2 min de chaque côté. Déposer 1/2 poire dans chaque assiette, et les saupoudrer de cannelle. Servir immédiatement, pour garder la poire tiède...",12
564,entree,Tarama maison,"['100 g de tarama œufs de cabillaud séchés ', ' 200 g de pain blanc ', ' 25 cl de jus de citron', ' 15 cl dhuile dolive']"," Enlever la croûte de votre baguette de pain ou de votre pain de campagne. Ne garder que 200 g de mie. Mouiller la mie franchement dans l'eau. Attendre 5 min que la mie soit bien imprégnée d'eau. Ensuite, récupérer la mie et la presser de façon à évacuer toute l'eau. Mélanger cette pâte avec le tarama. Vous obtenez une préparation rose clair. Presser le jus d'1/4 de citron et mélangez-le avec la préparation. Dernière étape, monter comme une mayonnaise la préparation avec l'huile d'olive.",9
566,entree,Pamplemousse aux crevettes tout simple,"['1 pamplemousse', ' 100 g de crevette cuites ', ' mayonnaise']", Couper le pamplemousse en deux. Vider le pamplemousse en prenant soin de conserver la coque intacte. Mettre les crevettes et les quartiers de pamplemousse dans un saladier. Arroser avec le jus du pamplemousse. Faire une mayonnaise (ou mayonnaise toute prête) et mélanger délicatement la mayonnaise (2 cuillères à café) avec le mélange crevette et pamplemousse. Répartir le tout dans les deux demi coques du pamplemousse.,3
574,entree,tourte au jambon et au fromage,"['2 pâte feuilletée', ' 5 tranche de jambon', ' 1 paquet de gruyère râpé', ' 25 cl de crème fraîche allégée ou non selon votre gourmandise ', ' 1 jaune doeuf']"," Sur votre moule à tarte, étalez votre première pâte feuilletée. Piquez la pour éviter qu'elle gonfle.  Disposez ensuite une tranche de jambon au centre, ajouter de la crème fraîche et du gruyère râpé, puis recommencer avec la seconde tranche de jambon, et de nouveau crème fraîche et gruyère. Faites ceci jusqu'à la cinquième, en pensant à étaler le jambon sur l'ensemble de la tarte.  Recouvrez ensuite avec la seconde pâte feuilletée ; replier les bords vers l'intérieur.  Battez un jaune d'oeuf et l'étaler à l'aide d'un pinceau sur la pâte.  Pensez à faire des petits croisillons à l'aide d'une fourchette, ce ne sera que plus joli !.  Au four environ 25 mn à à 180°C !   A servir avec une petite salade verte ! Un régal !",7
575,entree,Salade feta,"['200 g de fromage feta ', ' 2 concombre', ' 2 tomate', ' 1/2 poivron rouge', ' 10 olives noires dénoyautées ', ' 3 cuillère à soupe dhuile dolive', ' 2 cuillère à soupe de vinaigre']"," Couper la feta en petits cubes.  Faire dégorger les comcombres, les couper en morceaux ainsi que les tomates et le poivron.  Mélanger le tout avec les olives noires, y verser l'huile et le vinaigre et remélanger.",3
590,entree,Oeuf mollet frit,"['2 oeuf', ' 50 g de chapelure', ' 50 g de farine', ' eau froide ']"," Sortez vos oeufs et laissez-les pendant 1 heure à température ambiante. Couvrez le fond d'un récipient d'un film plastique. Cassez l'un des oeufs dans ce film plastique en prenant soin de ne pas casser le jaune. Faites un noeud au sommet du film de manière à enfermer le blanc et le jaune. Plongez le tout dans une eau à ébullition pendant 5 minutes. Plongez ensuite le paquet dans de l'eau froide de manière à arrêter la cuisson instantanément. Enlevez soigneusement le film plastique pour ne pas abîmer l'oeuf. Panez l'oeuf en le roulant doucement dans la farine. Intervient le deuxième oeuf, que vous battez comme vous le ferez pour une omelette. Plongez le premier oeuf dans la préparation et roulez le ensuite dans la chapelure. Faire frire l'oeuf à 160°C pendant une quarantaine de secondes. Dressez joliment : Accompagnez d'un petit toast ou d'une feuille de salade. Succès assuré !",9
628,entree,Caviar d'aubergines pour Cookeo,"['700 g daubergine épluchées et coupées ', ' 15 g dail surgelé ', ' 100 g doignon surgelés ', ' 1 cuillère à soupe de basilic surgelé ', ' 3 cuillère à soupe dhuile dolive', ' 10 cl deau']"," Dans le menu ""recettes"" du Cookeo, sélectionnez ""entrées"" puis la recette ""Caviar d'aubergines"". Choisissez le nombre de convives. Epluchez et coupez les aubergines en morceaux. Placez tous les ingrédients dans la cuve. Appuyez sur ""ok"" pour démarrer la cuisson. Fermez et verrouillez le couvercle.",6
633,entree,Tomates  farcies au thon et mayonnaise,"['4 tomate à farcir ', ' 1 oeuf', ' 1 boîte de thon au naturel ', ' 1 oignon ou la moitié dun gros ', ' 1 petit bouquet de persil', ' 1 petit bol de mayonnaise maison ']"," Faites durcir l'oeuf pendant 10 min et passez-le sous l'eau froide. Coupez le chapeau des tomates et retirez-en l'intérieur en veillant à ne pas les percer. Vous pourrez garder la pulpe pour préparer une sauce tomate...  Salez l'intérieur des tomates et retournez-les sur un papier absorbant pour qu'elles dégorgent. Pendant ce temps, préparez votre mayonnaise et réservez-la au frais. Ecaillez l'oeuf dur et mixez-le avec le persil et l'oignon. Dans un plat creux, émiettez le thon, ajoutez le mix oeuf-persil-oignon et versez la mayonnaise en mélangeant le tout. Farcir les tomates de cette préparation, replacez les chapeaux et mettre au frais au moins 3 h.",7
636,entree,Salade de tomates et oignon rouge,"['4 tomate', ' 1/2 oignon rouge', ' feuille de basilic frais', ' 1 cuillère à soupe dhuile dolive', ' 1 filet de vinaigre de cidre', ' sel']"," Je vous propose cette recette extrêmement simple mais pour moi la meilleure  pour sublimer votre salade de tomates : Coupez vos tomates en rondelles que vous mettrez dans un petit saladier. Ajoutez-y la moitié d'un oignon rouge que vous aurez coupé en petits morceaux et cisaillez quelques feuilles de basilic. Salez votre salade (ce qui permettra surtout d'absorber le surplus d'eau rendu par les tomates). Remuez et mettez-la environ 30 minutes au réfrigérateur, le temps que les saveurs se mélangent. Arrosez d'huile d'olive, de vinaigre de cidre et ajoutez une pointe de sel. Servez. Bon appétit !",8
651,entree,chocolat chaud crémeux à la pralinoise,"['1 tablette de chocolat à la pralinoise ', ' 1 l de lait', ' 100 g de sucre', ' 1 brique de crème liquide ']"," faire cuire le lait,casser la tablette en petits morceaux, dès que le lait commence à bouillir, retirer du feu et ajouter le sucre, la crème et le chocolat continuer la cuisson à feu doux jusqu'à ce que le chocolat soit fondu; il ne reste plus qu'à servir!",3
653,entree,Rillettes de maquereau faciles,"['120 g de maquereau au vin blanc et aromates boîte ', ' 150 g de fromage frais type saint morêt ', ' 3 cornichon pas trop gros ', ' 1/2 oignon ou 1 belle échalote ', ' 1 cuillère à café de moutarde']"," Égoutter les maquereaux dans une passoire. Éplucher l'oignon ou l'échalote et le passer à la moulinette avec les cornichons, réserver. Mettre les maquereaux dans une assiette en conservant les petits légumes qui sont avec et écraser le tout à la fourchette. Ajouter le mélange oignon/cornichons ainsi que le fromage, bien mélanger à la fourchette et ajouter la moutarde et mélanger de nouveau. Mettre les rillettes dans un bol et garder au réfrigérateur. L'idéal est de les préparer le matin pour les déguster le soir, ou la veille pour le midi.",6
668,entree,Pain de thon à la catalane,"['1 grosse boîte de thon à la catalane environ 300 g ', ' 1 boîte de thon au naturel environ 150 g ', ' 20 cl de crème semi-épaisse', ' 3 oeuf', ' 1 bouteille de sauce tomate préparée sans viandetype sauce pour spaghetti aux légumes ', ' sel et de poivre ']", Hyper facile !! Tout mélanger en veillant à bien écraser le thon. Attention à ne pas trop saler. Verser dans un moule à cake chemisé de papier de cuisson ou beurré. Faire cuire thermostat 6/7 (200°C) pendant 40 min (pour un four à chaleur tournante) jusqu'à ce que le cake se tienne bien. Démouler et placer au frais pendant au moins 4 à 5 heures.,4
680,entree,Dôme de saumon,"['1 pavé de saumon', ' 4 tranche de saumon fumé', ' oignon émincés très finement ', ' 2 cuillère de mayonnaise', ' salade', ' tomate cerise', ' citron', ' fromage blanc', ' citron']"," Prévoir 2 ramequins Faire cuire le pavé au micro-onde après l'avoir salé et poivré (5 mn).  Emietter le pavé en ayant soin d'enlever les arêtes.  Mélanger la mayonnaise et l' oignon émincé et le saumon émietté.  Tapisser le ramequin de 2 tranches de saumon fumé (attention prenez soin de bien recouvrir tout le ramequin) Si les tranches dépassent on pourra les rabattres à la fin.  Mettre la préparation dans les ramequins.  Rabattre les bouts de saumon fumé s'ils dépassent.  Couvrir avec du papier celophane.  Réfrigérer pendant 24 heures.  Démouler le dôme et disposer autour de la salade émincée, des rondelles de citrons, des petites tomates cerises.  Accompagner avec une sauce fromage blanc citron que vous appliquerez sur le dôme au moment de servir.",11
681,entree,Sapin feuilleté apéritif,"['2 pâte feuilletée', ' 200 g de pesto', ' 1 jaune doeuf']"," Préchauffer le four à 180°C (thermostat 6).  Dérouler la première pâte feuilletée et badigeonner de pesto.  Couvrir avec la seconde pâte. Découper plusieurs triangles dans la pâte.  Prendre les triangles un par un et les enfiler sur un pic en bois en les plissant légèrement pour former un sapin.  Placer les sapins sur une plaque recouverte de papier cuisson, badigeonner de jaune d'oeuf et enfourner 20 minutes.",6
689,entree,Makis Avocat Concombre (Rouleaux de riz aux algues),"['100 g de riz', ' 3 fromage type kiri ', ' 1 avocat', ' 1/4 concombre', ' 1 feuille de nori']"," Faire cuire le riz dans de l'eau bouillante, puis à feu doux avec 1,5 volume d'eau.  Quand le riz est cuit, ajouter 10 cl de vinaigre de riz, 1 sucre en morceau, 1 bonne pincée de sel. Poser une grande feuille d'algue (nori) sur une natte en bambou. Etaler une fine couche de riz sur l'algue, en laissant une marge de 2 cm sur le haut, puis appliquer les morceaux de chaque ingrédient (coupés en long) dans la longueur de la feuille.  Mouiller légérement le haut de la feuille d'algue (la marge), et rouler le sushi en un rouleau.  Couper ensuite le rouleau en 8 à l'aide d'un couteau bien aiguisé.",6
695,entree,Crème d'avocat,"['3 avocat assez mou ', ' 1/2 citron', ' 2 cuillère à soupe de lait', ' 2 cuillère à soupe de crème fraîche', ' 2 cuillère à soupe dhuile dolive']"," Dénoyautez les avocats et enlevez la peau et mettez les dans un mixer avec le jus de citron. Mélangez. Ajoutez un peu de lait , crème et huile. C'est prêt !  Mettre au frais avant de servir.",2
711,entree,"Tarte Provençale (tomate, courgette, mozzarella)","['150 g de mozzarella', ' 3 tomate', ' 3 courgette', ' 20 cl de crème fraîche', ' 2 oeuf + 2 jaunes ', ' 10 feuille de basilic', ' 1 cuillère à soupe de farine', ' 20 g de beurre', ' 300 g de pâte brisée']"," Ebouillantez et pelez les tomates, coupez en dés et salez les dans une passoire (30 mn). Lavez, séchez, coupez les courgettes en rondelles, puis plongez-les dans de l'eau bouillante. A la reprise de l'ébullition laissez cuire 3 mn. Egouttez et étalez-les sur un linge plié. Etalez la pate et déposez dans un moule à tarte beurré et fariné. Réservez au frais. Allumez le four à thermostat 7 (210°C). Coupez la mozzarella en petits dés et disposez les rondelles de courgettes en intercalant de dés de tomates. Battez les oeufs et la crème, salez et poivrez, puis ajoutez le basilic. Nappez-en les légumes. Enfournez 10 mn, puis baissez le thermostat à 6 (180°C) et cuisez encore 30 à 35 mn. Servez dès la sortie du four.",9
717,entree,Salade de concombre et museau en vinaigrette,"['1 concombre', ' 200 g de museau de boeuf ', ' 1 cuillère à soupe de sel', ' 1 cuillère à café de moutarde', ' 1 cuillère à soupe de vinaigre', ' 2 cuillère à soupe dhuile dolive']"," Peler le concombre, le détailler en fines rondelles, puis le faire dégorger avec du sel pendant 1 heure. Rincer les concombres sous l'eau froide, les égoutter puis les essuyer avec du papier absorbant. Découper ensuite le museau en fines lamelles, puis les incorporer au concombre. Faire une petite vinaigrette en émulsionnant l'huile avec la moutarde et le vinaigre, la verser sur le mélange concombre/museau et servir bien frais.",4
730,entree,crème chantilly au citron vert ,"['20 cl de crème liquide entière ', ' sel', ' 1 citron vert ou jaune ']"," Mettre la crème au froid pour qu'elle prenne mieux.  Extraire le jus d'un citron. Sortir la crème du réfrigérateur, la mettre dans un saladier, et commencez à la battre comme pour une chantilly en y incorporant une pincée de sel pour qu'elle monte mieux.  Une fois que la prise est bonne, ajouter le jus de citron et continuez à fouettez en diminuant la vitesse. Goûtez et rectifiez l'assaisonnement en sel et en citron. ",3
731,entree,Pâte à crêpes sans gluten et sans lactose,"['50 g de farine de riz ', ' 50 g de fécule de pomme de terre', ' 2 oeuf', ' 210 g de lait de riz ']", Dans un saladier verser la farine de riz avec la fécule. Ajouter les œufs et remuer. Ajouter progressivement le lait de riz en mélangeant bien. Laisser reposer au moins 1/4 d'heure. Vous pouvez cuire vos crêpes !,5
750,entree,Salade Cocktail,"['1 pamplemousse', ' 1 avocat à point ', ' 180 g de surimi râpé ', ' 4 feuille de salade', ' 150 g de crevette', ' ciboulette', ' mayonnaise', ' ketchup']"," Coupez le pamplemousse en quartiers. Otez la peau à 2/3 des quartiers et coupez la chair en dés. Pressez le 1/3 restant et récupérez le jus.  Coupez l'avocat en 2, ôtez le noyau, enlevez la peau et coupez la chair en dés également.  Dans un saladier, mettez les lanières de salade, l'avocat en dés, le surimi râpé. Finissez en disposant les dés de pamplemousse et les crevettes (évitez de disposer l'avocat en dernier car il noircit).  Il ne vous reste plus qu'à préparer la sauce cocktail avec de la mayonnaise (environ 3/4 ), du ketchup (1/4 pour la couleur et la note sucrée), du jus de pamplemousse (pour fluidifier), ciboulette, sel et poivre. A vous de la préparer selon vos goûts....  Quand la sauce est prête, vous recouvrez votre salade avec et vous placez le tout au frais jusqu'à dégustation...",5
789,entree,Salade de St Jacques,"['1 mâche', ' 1 sachet de noix de st jacques surgelés les pétoncles sont très bien aussi ', ' farine', ' huile dolive', ' vinaigre balsamique']"," Faire décongeler vos  noix sur du papier absorbant pendant environ 4 heures. Mettre la farine dans une assiette et rouler les noix dedans pour les paner. Faire chauffer un peu d'huile d'olive dans une poêle. Quand l'huile est bien chaude, jeter les noix dedans. Les retirer quand elle sont dorées: attention, les noix cuissent très vite ! Préparer une vinaigrette juste avec de lhuile d'olive et du vinaigre balsamique. Assaisonner la salade, déposer les noix dessus et pour la déco ajouter des pignons de pins et de la fleur de sel (sel de Guérande par exemple) et poivre du moulin.",4
801,entree,Escalopes de foie gras aux mangues,"['2 escalope de foie gras cru ', ' 20 g de beurre', ' 1 mangue']", Couper la mangue en tranches. Mettre dans une poêle un peu de beurre et faire revenir rapidement les tranches foie gras. Les retirer et les réserver au chaud. Faire revenir ensuite les mangues dans les sucs du foie Mettre sur assiette et servir de suite.,4
803,entree,Antipasti : petites tours basilic et mozzarella,"['1 aubergine assez fine ', ' 2 poivron rouge', ' 3 tomate en grappes de préférence ', ' 2 boule de mozzarella', ' 1 botte de basilic frais', ' 1 petit verre dhuile dolive', ' sel']"," Coupez l'aubergine en rondelles dans la largeur. Faites dégorger les rondelles avec du sel.  Coupez les poivrons en carrés d'environ 6 cm et passez-les au four (120°C/thermostat 4) après les avoir salés et recouverts d'un gros filet d'huile d'olive. Laissez-les cuire jusqu'à ce qu'ils deviennent mous. Laissez reposer les poivrons cuits et remplacez les dans le four par les rondelles d'aubergine, selon le même modèle, puis successivement par les tomates coupées en quartier. Une fois que les 3 légumes sont cuits, préparez la sauce : mixez le bouquet de basilic frais (gardez quelques petites feuilles de côté pour la décoration finale) avec le verre d'huile d'olive et du sel. La sauce doit être à dominante verte. Laissez-la refroidir 10 minutes au réfrigérateur. Pendant ce temps, dressez les assiettes : le nombre de tours par assiette variera selon la grosseur de vos légumes ! Commencez par une des plus grosses rondelles d'aubergine que vous recouvrez par un poivron, puis une tomate, puis une rondelle de mozzarella, puis empilez à nouveau une aubergine (plus petite), un poivron, une tomate, une mozza. Finissez la avec un petit chapeau (les plus petits morceaux des légumes). Vous pouvez faire grimper vos tours ou les réduire d'un niveau, sachant que plus elles sont hautes plus elles seront difficiles à manger ! Une fois toutes les tours dressées, nappez les chacune d'un bon filet de sauce. Pour finir, déposez délicatement une mini feuille de basilic sur le dessus de chaque tour.",10
807,entree,Soupe froide tomate melon,"['250 g de melon assez mûr si possible ', ' 3 tomate ébouillantées et sans peau ni pépins ', ' 1 cuillère à soupe de vinaigre balsamique', ' 2 cuillère à soupe dhuile dolive', ' 8 feuille de basilic', ' sel et beaucoup de poivre du moulin ']"," Découper en dés melon et tomates.  Mixer le tout avec le vinaigre, huile et feuilles de basilic.  Ajouter sel et poivre.  C'est prêt !  A préparer maximum deux heures à l'avance et à laisser au frigo avant de servir frais.",5
821,entree,Panzanella,"['1 kg de tomate assez fermes ', ' 2 oignon rouge', ' 1 bouquet de basilic frais', ' 1 concombre', ' 200 g de pain de campagne rassis et légèrement doré au gril ', ' 4 cuillère à soupe dhuile dolive', ' 1 cuillère à soupe de vinaigre balsamique', ' sel']"," Coupez les tomates en quartiers assez gros et faites-les égoutter dans une passoire. Coupez l'oignon en fines rondelles et le concombre épluché en dés. Mélangez les tomates avec l'oignon et le concombre dans un saladier. Ajoutez le pain grillé coupé en morceaux et les feuilles de basilic ciselées. Salez la salade, arrosez avec l'huile d'olive et le vinaigre et mélangez la panzanella avec soin. Laissez reposer 20 minutes puis servez frais.",3
822,entree,Champignons farcis au fromage,"['20 champignon de paris', ' 1 boîte de noix', ' 1 boîte dail et fines herbes ']"," Laver les champignons, bien les sécher dans un torchon. Couper les pieds à ras, puis les garnir de fromage à l'aide d'une petite cuillère. Les disposer dans un plat, saler, poivrer et arroser légèrement d'huile d'olive.  Enfourner 20 mn à 180°C et servez avec une salade verte.",2
